library,strain,clone,genename,comment,row96,col96,plt96,biorep96
P1+T5 library,673,32,gfp,No reads,A,1,8,2
P1+T5 library,674,2,T5_004,Deletion primerPremature stop codon,B,1,8,2
P1+T5 library,675,2,T5_008,Correct,C,1,8,2
P1+T5 library,676,2,T5_015,Deletion primerPremature stop codon,D,1,8,2
P1+T5 library,677,2,T5_025,Deletion primerPremature stop codon,E,1,8,2
P1+T5 library,678,2,T5_027,Deletion primerPremature stop codon,F,1,8,2
P1+T5 library,679,2,T5_032,Correct,G,1,8,2
P1+T5 library,680,2,T5_041,Deletion primerPremature stop codon,H,1,8,2
P1+T5 library,681,2,T5_042,Correct,A,2,8,2
P1+T5 library,682,2,T5_046,Deletion primerAbolish stop codon,B,2,8,2
P1+T5 library,683,2,T5_051,Deletion primerPremature stop codon,C,2,8,2
P1+T5 library,684,2,T5_052,Correct,D,2,8,2
P1+T5 library,685,2,T5_053,Correct,E,2,8,2
P1+T5 library,686,2,T5_055,"Insertion Add two aa, no frame change, Same mutation as Plate C1",F,2,8,2
P1+T5 library,687,2,T5_059,Correct,G,2,8,2
P1+T5 library,688,2,T5_061,Point mutation Premature stop codon,H,2,8,2
P1+T5 library,689,2,T5_064,Deletion primerPremature stop codon,A,3,8,2
P1+T5 library,690,2,T5_069,"Point mutation x3Mismatches, no frame change",B,3,8,2
P1+T5 library,691,2,T5_075,Deletion primerPremature stop codon,C,3,8,2
P1+T5 library,692,33,gfp,Correct,D,3,8,2
P1+T5 library,693,2,T5_078,Correct,E,3,8,2
P1+T5 library,694,2,T5_085,Correct,F,3,8,2
P1+T5 library,695,2,T5_091,Correct,G,3,8,2
P1+T5 library,696,2,T5_095,Deletion primerPremature stop codon,H,3,8,2
P1+T5 library,697,2,T5_097,"Deletion Abolish stop codon, same mutation as Plate C1",A,4,8,2
P1+T5 library,698,2,T5_098,Correct,B,4,8,2
P1+T5 library,699,2,T5_099,Wrong clone: its T5_080,C,4,8,2
P1+T5 library,700,2,T5_105,Correct,D,4,8,2
P1+T5 library,701,2,T5_107,Deletion primerPremature stop codon,E,4,8,2
P1+T5 library,702,2,T5_108,Correct,F,4,8,2
P1+T5 library,703,2,T5_113,Correct,G,4,8,2
P1+T5 library,704,2,T5_114,Correct,H,4,8,2
P1+T5 library,705,2,T5_115,Deletion primerPremature stop codon,A,5,8,2
P1+T5 library,706,2,T5_118,Correct,B,5,8,2
P1+T5 library,707,2,T5_120,Deletion primerPremature stop codon,C,5,8,2
P1+T5 library,708,2,T5_122,"CorrectLong ORF, incomplete sequence",D,5,8,2
P1+T5 library,709,2,T5_124,"CorrectLong ORF, incomplete sequence",E,5,8,2
P1+T5 library,710,2,T5_126,Deletion primerLast few nucleotides mutated,F,5,8,2
P1+T5 library,711,2,T5_128,"CorrectLong ORF, incomplete sequence",G,5,8,2
P1+T5 library,712,2,T5_129,Deletion primerPremature stop codon,H,5,8,2
