library,strain,clone,genename,comment,row96,col96,plt96,biorep96
P1+T5 library,577,26,gfp,No reads,A,1,7,1
P1+T5 library,578,1,T5_004,"CorrectPartial sequencing, Long ORF",B,1,7,1
P1+T5 library,579,1,T5_008,Deletion primerPremature stop codon,C,1,7,1
P1+T5 library,580,1,T5_015,Deletions primerPremature stop codon,D,1,7,1
P1+T5 library,581,1,T5_025,Deletion primerPremature stop codon,E,1,7,1
P1+T5 library,582,1,T5_027,Correct,F,1,7,1
P1+T5 library,583,1,T5_032,No reads,G,1,7,1
P1+T5 library,584,1,T5_041,No reads,H,1,7,1
P1+T5 library,585,1,T5_042,Correct,A,2,7,1
P1+T5 library,586,1,T5_046,Deletion primerAbolish stop codon,B,2,7,1
P1+T5 library,587,1,T5_051,Deletion primerPremature stop codon,C,2,7,1
P1+T5 library,588,1,T5_052,Correct,D,2,7,1
P1+T5 library,589,1,T5_053,Correct,E,2,7,1
P1+T5 library,590,1,T5_055,"Insertion Add two aa, no frame change, Same mutation as Plate D1",F,2,7,1
P1+T5 library,591,1,T5_059,No reads,G,2,7,1
P1+T5 library,592,1,T5_061,Point mutation primerMismatch initial methionine,H,2,7,1
P1+T5 library,593,1,T5_064,Insertion primerPremature stop codon,A,3,7,1
P1+T5 library,594,1,T5_069,Deletion primerPremature stop codon,B,3,7,1
P1+T5 library,595,1,T5_075,Deletion primerPremature stop codon,C,3,7,1
P1+T5 library,596,27,gfp,Correct,D,3,7,1
P1+T5 library,597,1,T5_078,Point mutation primer,E,3,7,1
P1+T5 library,598,1,T5_085,Correct,F,3,7,1
P1+T5 library,599,1,T5_091,No reads,G,3,7,1
P1+T5 library,600,1,T5_095,Insertion primerPremature stop codon,H,3,7,1
P1+T5 library,601,1,T5_097,"DeletiionAbolish stop codon, same mutation as plate D1",A,4,7,1
P1+T5 library,602,1,T5_098,Correct,B,4,7,1
P1+T5 library,603,1,T5_099,Wrong clone: its T5_080,C,4,7,1
P1+T5 library,604,1,T5_105,Correct,D,4,7,1
P1+T5 library,605,1,T5_107,Correct,E,4,7,1
P1+T5 library,606,1,T5_108,Correct,F,4,7,1
P1+T5 library,607,1,T5_113,No reads,G,4,7,1
P1+T5 library,608,1,T5_114,No reads,H,4,7,1
P1+T5 library,609,1,T5_115,Correct,A,5,7,1
P1+T5 library,610,1,T5_118,Correct,B,5,7,1
P1+T5 library,611,1,T5_120,Deletion primerPremature stop codon,C,5,7,1
P1+T5 library,612,1,T5_122,"CorrectLong ORF, incomplete sequence",D,5,7,1
