library,plt96,row96,col96,strain,clone,genename,comment,biorep96
P1T5 condensed,6,A,1,193,1,T5_GG_080,T5_080,2
P1T5 condensed,6,B,1,194,1,gfp,gfp,2
P1T5 condensed,6,C,1,195,1,T5_GG_104,T5_104,2
P1T5 condensed,6,D,1,196,1,T5_GG_115,T5_115,2
P1T5 condensed,6,E,1,197,1,T5_GG_130,T5_130,2
P1T5 condensed,6,F,1,198,1,T5_GG_144,T5_144,2
P1T5 condensed,6,G,1,199,1,T5_GG_157,T5_157,2
P1T5 condensed,6,H,1,200,1,T5_GG_tRNA6,T5_tRNA06,2
P1T5 condensed,6,A,2,201,1,T5_Gibson_081,T5_081,2
P1T5 condensed,6,B,2,202,6,T5_GG_091,T5_091,2
P1T5 condensed,6,C,2,203,1,T5_GG_105,T5_105,2
P1T5 condensed,6,D,2,204,1,T5_GG_116,T5_116,2
P1T5 condensed,6,E,2,205,7,T5_GG_131,T5_131,2
P1T5 condensed,6,F,2,206,1,T5_GG_145,T5_145,2
P1T5 condensed,6,G,2,207,1,gfp,gfp,2
P1T5 condensed,6,H,2,208,1,T5_GG_tRNA7,T5_tRNA07,2
P1T5 condensed,6,A,3,209,1,T5_GG_082,T5_082,2
P1T5 condensed,6,B,3,210,1,T5_GG_092,T5_092,2
P1T5 condensed,6,C,3,211,1,T5_GG_106,T5_106,2
P1T5 condensed,6,D,3,212,1,T5_GG_117,T5_117,2
P1T5 condensed,6,E,3,213,1,T5_GG_132,T5_132,2
P1T5 condensed,6,F,3,214,1,T5_GG_146,T5_146,2
P1T5 condensed,6,G,3,215,1,T5_GG_158,T5_158,2
P1T5 condensed,6,H,3,216,1,T5_GG_tRNA8,T5_tRNA08,2
P1T5 condensed,6,A,4,217,1,T5_Gibson_083,T5_083,2
P1T5 condensed,6,B,4,218,1,T5_GG_093,T5_093,2
P1T5 condensed,6,C,4,219,1,T5_GG_107,T5_107,2
P1T5 condensed,6,D,4,220,1,T5_GG_118,T5_118,2
P1T5 condensed,6,E,4,221,1,T5_GG_134,T5_134,2
P1T5 condensed,6,F,4,222,8,T5_Gibson_147,T5_147,2
P1T5 condensed,6,G,4,223,1,T5_GG_159,T5_159,2
P1T5 condensed,6,H,4,224,1,T5_Gibson_tRNA9,T5_tRNA09,2
P1T5 condensed,6,A,5,225,1,T5_Gibson_084,T5_084,2
P1T5 condensed,6,B,5,226,1,T5_Gibson_094,T5_094,2
P1T5 condensed,6,C,5,227,1,T5_GG_108,T5_108,2
P1T5 condensed,6,D,5,228,1,T5_GG_119,T5_119,2
P1T5 condensed,6,E,5,229,1,T5_GG_135,T5_135,2
P1T5 condensed,6,F,5,230,1,T5_GG_148,T5_148,2
P1T5 condensed,6,G,5,231,1,T5_GG_160,T5_160,2
P1T5 condensed,6,H,5,232,1,T5_GG_tRNA10,T5_tRNA10,2
P1T5 condensed,6,A,6,233,1,T5_GG_085,T5_085,2
P1T5 condensed,6,B,6,234,1,T5_GG_096,T5_096,2
P1T5 condensed,6,C,6,235,1,gfp,gfp,2
P1T5 condensed,6,D,6,236,1,T5_GG_121,T5_121,2
P1T5 condensed,6,E,6,237,1,T5_GG_137,T5_137,2
P1T5 condensed,6,F,6,238,1,T5_Gibson_149,T5_149,2
P1T5 condensed,6,G,6,239,1,T5_GG_161,T5_161,2
P1T5 condensed,6,H,6,240,1,T5_GG_tRNA11,T5_tRNA11,2
P1T5 condensed,6,A,7,241,1,T5_GG_086,T5_086,2
P1T5 condensed,6,B,7,242,1,T5_GG_098,T5_098,2
P1T5 condensed,6,C,7,243,1,T5_GG_109,T5_109,2
P1T5 condensed,6,D,7,244,1,T5_GG_122,T5_122,2
P1T5 condensed,6,E,7,245,1,T5_GG_138,T5_138,2
P1T5 condensed,6,F,7,246,1,T5_Gibson_150,T5_150,2
P1T5 condensed,6,G,7,247,1,T5_GG_162,T5_162,2
P1T5 condensed,6,H,7,248,1,gfp,gfp,2
P1T5 condensed,6,A,8,249,9,T5_GG_087,T5_087,2
P1T5 condensed,6,B,8,250,1,T5_GG_099,T5_099,2
P1T5 condensed,6,C,8,251,1,T5_GG_110,T5_110,2
P1T5 condensed,6,D,8,252,1,T5_GG_123,T5_123,2
P1T5 condensed,6,E,8,253,1,T5_GG_139,T5_139,2
P1T5 condensed,6,F,8,254,1,T5_GG_151,T5_151,2
P1T5 condensed,6,G,8,255,1,T5_GG_tRNA1,T5_tRNA01,2
P1T5 condensed,6,H,8,256,1,T5_GG_tRNA12,T5_tRNA12,2
P1T5 condensed,6,A,9,257,1,T5_GG_088,T5_088,2
P1T5 condensed,6,B,9,258,1,T5_GG_100,T5_100,2
P1T5 condensed,6,C,9,259,1,T5_GG_111,T5_111,2
P1T5 condensed,6,D,9,260,1,T5_GG_125,T5_125,2
P1T5 condensed,6,E,9,261,1,gfp,gfp,2
P1T5 condensed,6,F,9,262,1,T5_GG_152,T5_152,2
P1T5 condensed,6,G,9,263,1,T5_GG_tRNA2,T5_tRNA02,2
P1T5 condensed,6,H,9,264,10,T5_GG_tRNA13,T5_tRNA13,2
P1T5 condensed,6,A,10,265,1,gfp,gfp,2
P1T5 condensed,6,B,10,266,11,T5_GG_101,T5_101,2
P1T5 condensed,6,C,10,267,1,T5_GG_112,T5_112,2
P1T5 condensed,6,D,10,268,1,T5_GG_126,T5_126,2
P1T5 condensed,6,E,10,269,1,T5_GG_140,T5_140,2
P1T5 condensed,6,F,10,270,1,T5_GG_153,T5_153,2
P1T5 condensed,6,G,10,271,1,T5_GG_tRNA3,T5_tRNA03,2
P1T5 condensed,6,H,10,272,1,T5_GG_tRNA14,T5_tRNA14,2
P1T5 condensed,6,A,11,273,1,T5_GG_089,T5_089,2
P1T5 condensed,6,B,11,274,1,T5_GG_102,T5_102,2
P1T5 condensed,6,C,11,275,1,T5_GG_113,T5_113,2
P1T5 condensed,6,D,11,276,1,T5_Gibson_127,T5_127,2
P1T5 condensed,6,E,11,277,1,T5_GG_142,T5_142,2
P1T5 condensed,6,F,11,278,1,T5_GG_156,T5_156,2
P1T5 condensed,6,G,11,279,1,T5_GG_tRNA4,T5_tRNA04,2
P1T5 condensed,6,H,11,280,1,T5_GG_tRNA15,T5_tRNA15,2
P1T5 condensed,6,A,12,281,1,T5_GG_090,T5_090,2
P1T5 condensed,6,B,12,282,1,T5_GG_103,T5_103,2
P1T5 condensed,6,C,12,283,12,T5_GG_114,T5_114,2
P1T5 condensed,6,D,12,284,1,T5_GG_128,T5_128,2
P1T5 condensed,6,E,12,285,1,T5_GG_143,T5_143,2
P1T5 condensed,6,F,12,286,1,gfp,gfp,2
P1T5 condensed,6,G,12,287,1,T5_GG_tRNA5,T5_tRNA05,2
P1T5 condensed,6,H,12,288,1,T5_GG_tRNA16,T5_tRNA16,2
